https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1570665600000,2019-10-10 0:00:00,ADA/USDT,0.04237,0.04262,0.0406,0.04161,153063454.4,6339544.061,16989
1570579200000,2019-10-09 0:00:00,ADA/USDT,0.04121,0.04345,0.04076,0.04238,186972520.8,7908104.666,26312
1570492800000,2019-10-08 0:00:00,ADA/USDT,0.04136,0.04217,0.0403,0.0412,162484379,6668178.847,19618
1570406400000,2019-10-07 0:00:00,ADA/USDT,0.03879,0.04186,0.03808,0.04136,255365309.8,10303897.14,29416
1570320000000,2019-10-06 0:00:00,ADA/USDT,0.03967,0.03999,0.03801,0.03881,109962852.2,4307246,14764
1570233600000,2019-10-05 0:00:00,ADA/USDT,0.0393,0.03977,0.03863,0.03967,121480670.5,4774611.223,13776
1570147200000,2019-10-04 0:00:00,ADA/USDT,0.03816,0.04023,0.03733,0.0393,170576030.2,6666823.028,18885
1570060800000,2019-10-03 0:00:00,ADA/USDT,0.03923,0.03959,0.03746,0.03818,137043893.6,5256177.437,15411
1569974400000,2019-10-02 0:00:00,ADA/USDT,0.03824,0.03945,0.03756,0.03923,93483018.9,3616182.926,12787
1569888000000,2019-10-01 0:00:00,ADA/USDT,0.03888,0.03995,0.03809,0.03824,109847393.9,4272363.702,15825
1569801600000,2019-09-30 0:00:00,ADA/USDT,0.03716,0.03946,0.0357,0.03888,184102977.1,6999924.523,24978
1569715200000,2019-09-29 0:00:00,ADA/USDT,0.03862,0.0388,0.03594,0.03715,127505153.8,4751263.076,17317
1569628800000,2019-09-28 0:00:00,ADA/USDT,0.03911,0.03957,0.0379,0.0386,134360706.3,5216071.433,17617
1569542400000,2019-09-27 0:00:00,ADA/USDT,0.03818,0.0398,0.03686,0.03911,149906621,5729458.654,19909
1569456000000,2019-09-26 0:00:00,ADA/USDT,0.03917,0.04014,0.03498,0.03818,257302894.2,9718511.794,30575
1569369600000,2019-09-25 0:00:00,ADA/USDT,0.03724,0.04031,0.03585,0.03912,264300762.3,10026845.65,30001
1569283200000,2019-09-24 0:00:00,ADA/USDT,0.04635,0.04659,0.03525,0.03724,437517909.3,18406912.8,56434
1569196800000,2019-09-23 0:00:00,ADA/USDT,0.04892,0.04945,0.04602,0.04633,208854117.5,10060905.28,31528
1569110400000,2019-09-22 0:00:00,ADA/USDT,0.05177,0.0519,0.04765,0.04892,249415685.8,12243837.45,36807
1569024000000,2019-09-21 0:00:00,ADA/USDT,0.05251,0.05336,0.05107,0.05179,144902202.7,7570194.931,26924
1568937600000,2019-09-20 0:00:00,ADA/USDT,0.05233,0.05258,0.05006,0.05253,187591207.4,9602571.605,25595
1568851200000,2019-09-19 0:00:00,ADA/USDT,0.05307,0.05456,0.04941,0.05231,309027616.9,15901390.64,42288
1568764800000,2019-09-18 0:00:00,ADA/USDT,0.04887,0.05557,0.04881,0.05308,377025172.1,19820259.47,45129
